日付,会員数,新規登録数,新規登録（デカプロフ入力完了）,PV全体,SP-PV全体,PV(会員),SP-PV(会員),PV(非会員),SP-PV(非会員),閲覧UU全体,閲覧UU(非会員),閲覧SP-UU(非会員),DAU全体,SP-DAU全体,暫定閲覧SP-UU全体,DAU iOS,DAU Android,MAU進捗,新規UU進捗,リピートUU進捗,呼び戻しUU進捗,プラットフォーム利用UU,デカトップ利用UU,デカホーム利用UU,プラットフォーム利用率,デカトップ利用率,デカホーム利用率,離脱率(7日後),離脱率(30日後),つながり数平均,つながり数中央値,つながり申請UU,つながり申請数,ソーシャルコネクト数(facebook),ソーシャルコネクトUU(facebook),ソーシャルコネクト数(twitter),ソーシャルコネクトUU(twitter),ソーシャルコネクト数(ameba),ソーシャルコネクトUU(ameba),ソーシャルコネクト数(mixi),ソーシャルコネクトUU(mixi),ソーシャルポスト数(facebook),ソーシャルポストUU(facebook),ソーシャルポスト数(twitter),ソーシャルポストUU(twitter),ソーシャルポスト数(ameba),ソーシャルポストUU(ameba),ソーシャルポスト数(mixi),ソーシャルポストUU(mixi),エントリーポスト数,エントリーポストUU,PV(like),PV UU(like),PV(follow),PV UU(follow),PV(tutorial end),PV UU(tutorial end),全コメント総数,全コメントUU,全いいね総数,全いいねUU,メッセージ総数,メッセージUU,スペンドUU全体,スペンド額全体,スペンドARPPU全体,スペンドARPU全体,スペンド率全体,スペンドUU（iOSポイント）,スペンド額（iOSポイント）,スペンドARPPU（iOSポイント）,スペンドARPU（iOSポイント）,スペンド率（iOSポイント）,スペンドUU（コイン）,スペンド額（コイン）,スペンドARPPU（コイン）,スペンドARPU（コイン）,スペンド率（コイン）,スペンドUU（アメG）,スペンド額（アメG）,スペンドARPPU（アメG）,スペンドARPU（アメG）,スペンド率（アメG）
2014-06-01,289173,0,4,3408799,3216444,703602,696094,2705197,2520350,268073,258572,185561,10396,10280,195841,6339,3993,10391,220,10003,168,3931,3,3777,37.81,0.03,36.33,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238053,4206,16938,1079,960,3,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-06-02,289173,0,5,2678896,2489349,601889,595832,2077007,1893517,253493,244155,170910,10082,9987,180897,6154,3875,12823,415,12132,276,3850,2,3722,38.19,0.02,36.92,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183726,4060,10844,916,596,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-06-03,289173,0,4,2392184,2231714,578327,573137,1813857,1658577,241357,232171,160860,9955,9865,170725,6088,3815,14269,600,13251,418,3706,1,3576,37.23,0.01,35.92,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161282,3985,8220,789,592,3,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-06-04,289173,0,4,2511324,2351135,588634,581062,1922690,1770073,228639,219384,173943,10000,9907,183850,6107,3836,15411,780,14083,548,3761,5,3630,37.61,0.05,36.30,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167611,4010,9186,824,575,1,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-06-05,289173,0,2,2603623,2450911,596260,589764,2007363,1861147,235900,226551,181877,10153,10063,191940,6142,3954,16510,1009,14818,683,3715,4,3572,36.59,0.04,35.18,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166505,3873,11167,968,686,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-06-06,289173,0,5,2615999,2433869,594465,585698,2021534,1848171,244931,235745,178911,9968,9857,188768,6060,3836,17411,1224,15387,800,3739,5,3596,37.51,0.05,36.08,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176822,3946,11104,865,719,3,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-06-07,289173,0,3,3226863,3022757,698483,679889,2528380,2342868,273305,263667,198473,10570,10470,208943,6405,4110,18437,1485,16008,944,4046,3,3889,38.28,0.03,36.79,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233599,4107,16219,1124,971,5,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-06-08,289173,0,5,3421896,3264786,745521,734118,2676375,2530668,260275,250645,190948,10532,10427,201375,6381,4092,19331,1724,16524,1083,3990,1,3832,37.88,0.01,36.38,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252625,4192,18731,1157,928,3,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-06-09,289173,0,6,2592624,2454034,606917,597539,1985707,1856495,246204,237124,178819,9933,9855,188674,6111,3776,20013,1996,16825,1192,3743,3,3619,37.68,0.03,36.43,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181089,3998,11184,934,839,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
2014-06-10,289173,0,2,2443706,2299757,572251,557069,1871455,1742688,241418,232531,175796,9655,9575,185371,5920,3690,20613,2218,17084,1311,3538,2,3412,36.64,0.02,35.34,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164897,4038,9708,884,761,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0.00
